First Name,Middle Name,Last Name,Staff ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,email,Mobile Number,Alternative Mobile Number,Nationality,Religion,Community:,Scar,Mole:,Medical History:,Address:,City:,State:,Pincode:,Address,City,State,Pincode,Designation,Description,Bank Name,Branch Name,Account Number,IFSC Code,PAN Number,College,Course,Specialization,School,Specialization,Percentage,CGPA,Total marks,gained marks,Designation,Name of Institution,Location,Notes,Father Name,Occupation,Father Email,Father Phone,Mother Name,Mother Occupation,Mother Email,Mother Phone,Guardian Name,Occupation,Guardian Email,Guardian Phone,Guardian Relation
Priya,Prakash,Garcia,STF0004,4545 6767 8989,Leadership,Painting,National Honor Society,Leadership Award recognition,erpteststaff4@yopmail.com,7029183456,7643285109,French,Buddhism,ChildrenYouth,Jagged scar on left forearm,Mole on chin,Chickenpox as a child,101 Oak Rd.,Houston,New York,700001,"36, Ravi Vihar, Bhagat Singh Colony",Patna,Bihar,530001,Director of Athletics,Oversees student affairs and discipline to maintain a safe and supportive learning environment.,Punjab National Bank,Chennai Anna Nagar,24681012141,AXIS0000123,DDDDD4444D,Indian Institute of Technology Kanpur (IITK),Bachelor of Engineering (BE),Psychology,La Martiniere Girls' College,Special Education and Inclusive Learning,84%,8.1,600,592,Teacher,Washington Preparatory Academy,"Houston, Texas","Completed an internship at a non-profit organization, assisting with grant writing and fundraising efforts.",David,Accountant,erptestfather04@yopmail.com,9324801587,Susan,Accountant,erptestmother04@yopmail.com,8914730265,William Hernandez,Accountant,erptestguardian04@yopmail.com,8357902146,Older brother
Ajay,Rajesh,Miller,STF0005,9876 5432 1098,Communication,Playing an instrument,Perfect Attendance,Athletic Achievement recognition,erpteststaff5@yopmail.com,8970623451,9037468125,Japanese,Sikhism,Indigenous Peoples,Circular scar on right elbow,Small mole on upper lip,Chronic headaches,234 Pine St.,Phoenix,Pennsylvania,800001,"45, Krishna Nagar, Gopalpura Bypass",Kolkata,Gujarat,695011,Director of Technology,Manages student enrollment and recruitment to ensure the school meets its enrollment goals.,Canara Bank,Mumbai Andheri East,36912151821,PYTM0123456,EEEEE5555E,Indian Institute of Technology Kharagpur (IITKGP),Bachelor of Technology (BTech),Finance,The Doon School,Literacy Education,67%,5.6,1150,689,Guidance Counselor,Franklin Charter School,"Phoenix, Arizona","Served as a volunteer at a homeless shelter, providing meals and support to individuals in need.",Robert,Lawyer,erptestfather05@yopmail.com,8753190426,Patricia,Lawyer,erptestmother05@yopmail.com,8179643520,Sophia Davis,Lawyer,erptestguardian05@yopmail.com,8740296531,Younger sister
Meena,Vivek,Davis,STF0006,1112 2233 3344,Problem-Solving,Singing,Science Fair Winner,Science Fair Winner recognition,erpteststaff6@yopmail.com,8240931765,8319542760,Brazilian,Judaism,Refugees Asylum Seekers,Raised scar on left wrist,Mole on right ear,Depression,567 Maple Ave.,Philadelphia,Illinois,900001,"14, Shivaji Colony, Rajgarh",Hyderabad,Tamil Nadu,380009,Curriculum Coordinator,Oversees athletic programs and events to promote student health and wellness.,Bank of Baroda,Bangalore Koramangala,15141311109,BOB00011222,FFFFF6666F,Indian Institute of Technology Roorkee (IITR),Bachelor of Computer Applications (BCA),Marketing,Mayo College,Language Acquisition and Development,73%,8.3,720,677,Librarian,Hamilton Academy for the Arts,"Philadelphia, Pennsylvania","Worked as a sales associate at a retail store, assisting customers and managing inventory.",James,Nurse,erptestfather06@yopmail.com,9031287564,Linda,Nurse,erptestmother06@yopmail.com,8497052136,Christopher Wright,Nurse,erptestguardian06@yopmail.com,9023456781,Younger brother
Sameer,Sanjay,Wilson,STF0007,5556 6677 7788,Creativity,Dancing,Math Olympiad Winner,Math Olympiad Winner recognition,erpteststaff7@yopmail.com,9162083457,7984165203,German,Taoism,Homeless,Long scar on back of left thigh,Mole on left temple,Diabetes,890 Cedar St.,San Antonio,Ohio,110002,"3, Patel Nagar, Gomti Nagar",Pune,Haryana,641001,School Counselor,Manages school technology infrastructure and resources to ensure they are up-to-date and functioning properly.,Union Bank of India,Delhi Nehru Place,21222324251,IDBI00034562,GGGGG7777G,Indian Institute of Science (IISC),Bachelor of Business Administration (BBA),Civil Engineering,Bishop Cotton School,Science Education,81%,6.9,840,430,School Nurse,Kennedy Science and Technology Academy,"San Antonio, Texas","Completed a summer internship at a law firm, assisting with legal research and administrative tasks.",Richard,Entrepreneur,erptestfather07@yopmail.com,7829103654,Karen,Entrepreneur,erptestmother07@yopmail.com,8731924506,Isabella Green,Entrepreneur,erptestguardian07@yopmail.com,8976432105,Cousin
Priya,Nitin,Anderson,STF0008,9990 8887 7774,Critical Thinking,Acting,Spelling Bee Winner,Spelling Bee Winner recognition,erpteststaff8@yopmail.com,7925483160,9271345608,Nigerian,Confucianism,Immigrants,Faint scar above upper lip,Mole on right shoulder,Eczema,1111 Willow Dr.,San Diego,Georgia,400002,"18, Nehru Nagar, Mahalaxmi Nagar",Jaipur,Jharkhand,781005,School Psychologist,Develops and implements academic curriculum to ensure that it meets the needs of students and aligns with educational standards.,Bank of India,Mumbai Bandra West,56575859607,SBI00067893,HHHHH8888H,University of Delhi,Bachelor of Fine Arts (BFA),Electrical Engineering,Modern School,Mathematics Education,98%,7.8,950,720,Special Education Teacher,Adams International School,"San Diego, California","Served as an event planner for a university organization, organizing and executing successful events for students and faculty.",Joseph,Scientist,erptestfather08@yopmail.com,9148923087,Nancy,Scientist,erptestmother08@yopmail.com,8359426107,Joseph Brown,Scientist,erptestguardian08@yopmail.com,8034567892,Godmother
Aravind,Devi,Thomas,STF0009,1213 2324 3435,Decision Making,Photography,Geography Bee Winner,Geography Bee Winner recognition,erpteststaff9@yopmail.com,8671042395,8569372401,Russian,Shintoism,Veterans,Deep scar on right calf,Mole on left wrist,Epilepsy,2222 Juniper Ln.,Dallas,North Carolina,600002,"67, Gandhi Road, Kumhrar",Kanpur,Maharashtra,492001,Special Education Coordinator,Provides counseling services to students to promote their emotional and mental health.,Indian Overseas Bank,Chennai T Nagar,12572489630,KOT00012341,IIIII9999I,Jawaharlal Nehru University (JNU),Bachelor of Design (BDes),Environmental Science,St. Xavier's School,Social Studies Education,62%,9,570,503,Art Teacher,Madison Community School,"Dallas, Texas","Worked as a research assistant for a university professor, conducting experiments and analyzing data.",Thomas,Artist,erptestfather09@yopmail.com,8349502671,Margaret,Artist,erptestmother09@yopmail.com,9175364820,Ava Mitchell,Artist,erptestguardian09@yopmail.com,8923456701,Godfather
Sangeetha,Raman,Jackson,STF0010,7878 8989 9990,Analytical Thinking,Videography,Student Council Leadership Award,Debate Club recognition,erpteststaff10@yopmail.com,9256038714,9046318275,American,Zoroastrianism,Women,Scattered scars on both arms,Mole on upper back,Fractured rib in a car accident,3333 Birch Rd.,San Jose,Michigan,700002,"32, Ram Nagar, BHEL Township",Lucknow,Madhya Pradesh,500001,Librarian,Provides mental health services to students to help them manage their emotional and behavioral needs.,Central Bank of India,Bangalore Jayanagar,15975348620,YESB00004566,JJJJJ0000J,University of Mumbai,Bachelor of Architecture (BArch),Human Resource Management,Scindia School,Music Education,80%,4.7,1010,1004,Music Teacher,Monroe Montessori School,"San Jose, California","Served as a tutor for a high school student, helping to improve their academic performance in multiple subjects.",Charles,Writer,erptestfather10@yopmail.com,8910473652,Sarah,Writer,erptestmother10@yopmail.com,8740256319,Ethan Johnson,Writer,erptestguardian10@yopmail.com,8765432190,Family friend
Sanjay,Nair,White,STF0011,2468 1357 8642,Attention to Detail,Playing sports,Debate Club Award,Drama Club recognition,erpteststaff11@yopmail.com,8712463059,8962430751,Italian,Baha Faith,Men,Small scar near hairline,Mole on right forearm,Gastrointestinal issues,4444 Ash St.,Austin,New Jersey,800002,"9, Nai Sadak, Shyam Nagar",Raipur,Odisha,800001,Media Specialist,Manages special education programs and services to support students with special needs.,IDBI Bank,Pune Aundh,45678912305,CANA0001112,KKKKK1111K,University of Calcutta,Bachelor of Education (BEd),Data Science,Welham Girls' School,Art Education,91%,6.2,680,622,Physical Education Teacher,Wilson Language Institute,"Austin, Texas","Worked as a customer service representative at a call center, providing assistance and resolving issues for customers.",Christopher,Athlete,erptestfather11@yopmail.com,8471029365,Emily,Athlete,erptestmother11@yopmail.com,9243761580,Mia Baker,Athlete,erptestguardian11@yopmail.com,8274905613,Neighbor
Anu,Kumar,Harris,STF0012,1113 2224 3335,Adaptability,Hiking,Drama Club Award,Music Club recognition,erpteststaff12@yopmail.com,9367508241,7436109825,Canadian,Jainism,Ethnic Minorities,Scar on back of right hand,Mole on left thigh,Heart disease,5555 Spruce Ave.,Jacksonville,Virginia,900002,"21, Shastri Nagar, Gangapur City",Chennai,Uttar Pradesh,600001,Physical Education Teacher,Manages the school library and its resources to support student learning and research.,Syndicate Bank,Hyderabad Banjara Hills,10203040506,IOBA0005678,LLLLL2222L,University of Hyderabad,Bachelor of Physical Education (BPEd),Education,Rishi Valley School,Physical Education,78%,9.8,1123,1023,Science Teacher,McKinley Academy for Gifted and Talented Students,"Jacksonville, Florida","Completed an internship at a public relations firm, assisting with media outreach and drafting press releases.",Matthew,Chef,erptestfather12@yopmail.com,9267483015,Rebecca,Chef,erptestmother12@yopmail.com,8096437152,Alexander Collins,Chef,erptestguardian12@yopmail.com,8956742310,Teacher
Karthik,Lakshmi,Martin,STF0013,4445 5556 6667,Strategic Planning,Camping,Music Club Award,Art Club recognition,erpteststaff13@yopmail.com,8943276501,8729540136,South African,Cao Dai,Religious Minorities,Scar on right knee,Mole on left earlobe,High blood pressure,6666 Chestnut St.,Fort Worth,Washington,110003,"48, Mahaveer Nagar, Gopalpura Bypass",Ranchi,Rajasthan,560001,Music Teacher,Manages digital media resources and technology to support student learning and research.,Oriental Bank of Commerce,Kolkata Salt Lake,22334455661,UTIB0007890,MMMMM3333M,University of Pune,Bachelor of Law (LLB),Economics,"The Lawrence School, Sanawar",Educational Technology,86%,5.9,730,638,Mathematics Teacher,Harrison Alternative School,"Fort Worth, Texas","Served as a lifeguard at a community pool, ensuring the safety of swimmers and responding to emergencies.",Steven,Musician,erptestfather13@yopmail.com,8739462105,Laura,Musician,erptestmother13@yopmail.com,8625390741,Charlotte Jackson,Musician,erptestguardian13@yopmail.com,8934506712,Coach
