First Name,Middle Name,Last Name,Student ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,Email,Mobile Number,Emergency Mobile Number,Scar,Mole,Medical History,Temporary Address,City,State,Pincode,Permanent Address,City,State,Pincode,Sibling Name,Sibling Education,admission no,parent id,annual income,first name,middle name,last name,father name,father mobile,father gmail,father education,father occupation,mothername,mother mobile,mother email,mother educaiton,mother occupation,guardian name,guardian gmail,guardian mobile,guardian relation,guardian education,gurrdian occupation
Srijal verma,,Nguyen,STNT0035,198730194698,Leadership,Other Creative Hobbies,NA,NA,erpteststudent35@yopmail.com,7735628884,,nostril,nostril,Major Operations,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600025,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600025,Srijal verma,6,ADMNO035,Parent0035,49393,Bhupinder Singh,,a,Bhupinder Singh,6033451750,erptestfather35@yopmail.com,ME,nurse,RANI RAI,6033451851,,M Com,Government officer,,,,,,,,
Monika Kumari,,Garcia,STNT0036,182895889930,Adaptability,Sports Hobbies,NA,NA,erpteststudent36@yopmail.com,6792924466,,earlobe,head,Alargic,nager Chennai Tamil Nadu,Chennai,Tamil Nadu,600014,nager Chennai Tamil Nadu,Chennai,Tamil Nadu,600014,Sahil kaushal,9,ADMNO036,Parent0036,49393,Dhanpat Rai,,e,Dhanpat Rai,7552326953,erptestfather36@yopmail.com,MBBS,nurse,Sudha Dogra,7552327054,,BE,driver,,,,,,,,
Mehak Dogra,,Johnson,STNT0037,124496702174,Oral and written communication,Games,NA,State winner,erpteststudent37@yopmail.com,8221783401,,earlobe,forehead,No,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600034,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600034,Monika Kumari,5,ADMNO037,Parent0037,130561,Bhupinder singh,,a,Bhupinder singh,6421973611,erptestfather37@yopmail.com,MBA,Government officer,Karuna pandey,6421973712,,M Tech,professor,,,,,,,,
Shishir pandey,,Martinez,STNT0038,156103225738,Oral and written communication,Food & Cooking Hobbies,NA,NA,erpteststudent38@yopmail.com,7890921036,,forehead,forehead,Alargic,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600008,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600008,Monika Kumari,7,ADMNO038,Parent0038,113127,Bhupinder singh,,g,Bhupinder singh,8109898535,erptestfather38@yopmail.com,M Tech,Government officer,Neelam kumari,8109898636,,M Com,nurse,,,,,,,,
Piyush Khera,,Brown,STNT0039,123677282547,Adaptability,Travel Hobbies,NA,NA,erpteststudent39@yopmail.com,7232373784,,earlobe,ear,Broken hand,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600026,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600026,Kavyashree Saikia,4,ADMNO039,Parent0039,57443,Pramod kumar,,a,Pramod kumar,7987278999,erptestfather39@yopmail.com,BE,driver,Sudha Dogra,7987279100,,M Tech,framer,,,,,,,,
Nishant Sharma,,Kumar,STNT0040,149550367001,Teamwork,The Benefits of Hobbies,poem prize,NA,erpteststudent40@yopmail.com,7997851407,,forehead,nostril,No,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600048,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600048,Palak Pathania,8,ADMNO040,Parent0040,82303,Bhupinder singh,,f,Bhupinder singh,6620596422,erptestfather40@yopmail.com,MSC,framer,Asha Saikia,6620596523,,MSC,Doctor,,,,,,,,
Palak Pathania,,Lopez,STNT0041,184250445169,Leadership,Games,NA,NA,erpteststudent41@yopmail.com,7153565870,,head,ear,Minor operation,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600047,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600047,Shishir pandey,3,ADMNO041,Parent0041,113127,Jayanta Saikia,,a,Jayanta Saikia,7234070082,erptestfather41@yopmail.com,MBA,professor,Pramila Pravin Ban,7234070183,,BA,teacher,,,,,,,,
Ankita Pravin Ban,,Williams,STNT0042,164208669035,Creativity,Travel Hobbies,NA,1st rank,erpteststudent42@yopmail.com,6470003870,,hair,forehead,No,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600031,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600031,Rakhi,1,ADMNO042,Parent0042,130561,Pravin Anashaba Ban,,e,Pravin Anashaba Ban,6064577831,erptestfather42@yopmail.com,BA,nurse,Anita Khera,6064577932,,BA,nurse,,,,,,,,
Kumari Ankita Yadav,,Park,STNT0043,167811812459,Oral and written communication,Outdoor Hobbies,NA,NA,erpteststudent43@yopmail.com,7697101351,,earlobe,earlobe,Broken hand,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600029,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600029,Nishant Sharma,1,ADMNO043,Parent0043,57443,Babu Ram,,d,Babu Ram,8149571761,erptestfather43@yopmail.com,M Com,Government officer,Shama Sharma,8149571862,,ME,Government officer,,,,,,,,
Rakhi,,Kimura,STNT0044,203230745666,Oral and written communication,Food & Cooking Hobbies,NA,NA,erpteststudent44@yopmail.com,8383160041,,nose,ear,TB,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600001,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600001,Kumari Ankita Yadav,3,ADMNO044,Parent0044,54882,Manoj Kumar,,d,Manoj Kumar,8526788598,erptestfather44@yopmail.com,MCA,framer,Asha Saikia,8526788699,,M Com,Doctor,,,,,,,,
